animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,Mammal
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,Mammal
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mammal
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,Mammal
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,Mammal
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,Mammal
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,Mammal
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mammal
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,Mammal
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,Mammal
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,Mammal
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,Mammal
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,Mammal
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,Mammal
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,Mammal
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mammal
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,Mammal
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,Mammal
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mammal
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,Mammal
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,Mammal
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,Mammal
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,Mammal
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,Mammal
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,Mammal
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,Bird
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,Bird
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,Bird
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,Bird
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,Bird
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,Bird
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,Bird
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,Bird
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Bird
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,Bird
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,Bird
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,Bird
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Bird
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,Bird
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,Bird
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,Bird
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Bird
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,Bird
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,Bird
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Bird
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,Reptile
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,Reptile
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,Reptile
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,Reptile
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,Reptile
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,Fish
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Fish
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Fish
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Fish
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Fish
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Fish
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,Fish
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Fish
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,Amphibian
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,Amphibian
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,Amphibian
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,Amphibian
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,Bug
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bug
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,Bug
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bug
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,Bug
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bug
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,Bug
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,Bug
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Invertebrate
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,Invertebrate
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,Invertebrate
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,Invertebrate
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,Invertebrate
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,Invertebrate
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,Invertebrate
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Invertebrate
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,Invertebrate
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Invertebrate
